idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
0009X,0.963335,2026-04-10T00:00:00+0000,0.0,406.0,2.2,0.8,281.0,41.213892,257.0,ALFORJA,57.0,11.2,11.2,11.7,,,,,,,,,,,,,,,,,,,,,,,,
0016A,1.163611,2026-04-10T00:00:00+0000,0.0,71.0,3.6,2.6,330.0,41.145,330.0,REUS  AEROPUERTO,74.0,11.9,12.0,13.0,1009.7,0.3,11.1,1018.9,7.6,30.0,7.0,0.0,,,,,,,,,,,,,,,,
0034X,1.260838,2026-04-10T00:00:00+0000,0.0,233.0,,,,41.293053,,VALLS,69.0,10.9,10.9,11.4,,,,,,,,,,,,,,,,,,,,,,,,
0042Y,1.249167,2026-04-10T00:00:00+0000,0.0,55.0,0.0,0.0,15.0,41.123892,342.0,TARRAGONA  FAC. GEOGRAFIA,87.0,12.7,12.7,13.1,,,,,,,,,,,,,,,,,,,,,,,,
0061X,1.519269,2026-04-10T00:00:00+0000,0.0,632.0,3.7,2.8,307.0,41.417052,307.0,PONTONS,47.0,11.4,12.0,13.2,,,,,,,,,,,,,,,,,,,,,,,,
0066X,1.676942,2026-04-10T00:00:00+0000,0.0,177.0,1.4,0.6,21.0,41.330279,50.0,VILAFRANCA DEL PENEDÈS,72.0,11.2,11.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,
0073X,1.852626,2026-04-10T00:00:00+0000,0.0,58.0,1.2,0.7,333.0,41.243784,355.0,SITGES  VALLCARCA,57.0,13.9,14.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,
0076,2.069995,2026-04-10T00:00:00+0000,0.0,4.0,2.6,0.1,230.0,41.292781,230.0,BARCELONA  AEROPUERTO,81.0,14.0,14.1,14.8,1017.6,0.1,12.8,1018.2,10.9,12.6,56.0,0.0,,,,,,,,,,,,,,,,
0092X,1.857494,2026-04-10T00:00:00+0000,0.0,682.0,3.8,1.2,73.0,42.101388,62.0,BERGA  INSTITUTO,52.0,14.7,14.7,15.4,,,,,,,,,,,,,,,,,,,,,,,,
0106X,1.872504,2026-04-10T00:00:00+0000,0.0,361.0,2.8,1.2,322.0,41.866387,355.0,BALSARENY,66.0,10.5,10.9,11.4,,,,,,,,,,,,,,,,,,,,,,,,
0114X,2.026561,2026-04-10T00:00:00+0000,0.0,700.0,2.2,1.3,339.0,42.007057,335.0,PRATS DE LLUÇANÈS,79.0,9.1,9.2,9.5,,,,,,,,,,,,,,,,,,,,,,,,
0120X,2.09539,2026-04-10T00:00:00+0000,0.0,742.0,1.3,0.1,233.0,41.813278,5.0,MOIÀ,56.0,14.2,14.2,15.1,,,,,,,,,,,,,,,,,,,,,,,,
0149X,1.84028,2026-04-10T00:00:00+0000,0.0,291.0,2.0,1.0,266.0,41.719881,21.0,MANRESA,63.0,12.9,12.9,14.0,985.3,,11.8,1019.9,6.1,20.0,,0.0,16.2,0.0,0.0,,,,,,,,,,,,,
0158X,1.839223,2026-04-10T00:00:00+0000,0.0,738.0,,,,41.594444,,MONTSERRAT,34.0,18.2,18.3,18.3,,,,,,,,,,,,,,,,,,,,,,,,
0171X,1.617778,2026-04-10T00:00:00+0000,0.0,313.0,2.3,0.8,286.0,41.578889,268.0,IGUALADA,50.0,11.9,12.0,13.0,,,,,1.9,,,,,,,39.0,,,,,,,,,,,,
